c-native,0.398372
c-drio,0.3575
c-c-empty,0.3578,0
c-c-empty,0.360344,0
c-c-dm,0.374059,0
c-c-dm,0.378455,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.374117,0
c-c-dm-errs-bad,0.414224,0
c-c-dm-errs-stats,0,0,10000,0,0,10000,1000
c-native,0.399001
c-drio,0.35723
c-c-empty,0.363622,0
c-c-empty,0.368925,0
c-c-dm,0.384044,0
c-c-dm,0.384889,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.374,0
c-c-dm-errs-bad,0.41695,0
c-c-dm-errs-stats,0,0,10000,0,0,10000,1000
c-native,0.399333
c-drio,0.358051
c-c-empty,0.368256,0
c-c-empty,0.3577,0
c-c-dm,0.387797,0
c-c-dm,0.385335,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.380084,0
c-c-dm-errs-bad,0.410035,0
c-c-dm-errs-stats,0,0,10000,0,0,10000,1000
c-native,0.396981
c-drio,0.368021
c-c-empty,0.368288,0
c-c-empty,0.368017,0
c-c-dm,0.375657,0
c-c-dm,0.374497,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.374212,0
c-c-dm-errs-bad,0.406464,0
c-c-dm-errs-stats,0,0,10000,0,0,10000,1000
c-native,0.398134
c-drio,0.365562
c-c-empty,0.364048,0
c-c-empty,0.35815,0
c-c-dm,0.379954,0
c-c-dm,0.37962,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.374511,0
c-c-dm-errs-bad,0.405734,0
c-c-dm-errs-stats,0,0,10000,0,0,10000,1000
c-native,0.397132
c-drio,0.357098
c-c-empty,0.357549,0
c-c-empty,0.357415,0
c-c-dm,0.377965,0
c-c-dm,0.374318,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.406532,0
c-c-dm-errs-bad,0.418239,0
c-c-dm-errs-stats,0,363,9637,363,0,9637,964
c-native,0.399387
c-drio,0.368413
c-c-empty,0.364574,0
c-c-empty,0.368463,0
c-c-dm,0.374742,0
c-c-dm,0.374115,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.374591,0
c-c-dm-errs-bad,0.417668,0
c-c-dm-errs-stats,0,0,10000,0,0,10000,1000
c-native,0.399136
c-drio,0.360327
c-c-empty,0.36418,0
c-c-empty,0.365782,0
c-c-dm,0.384814,0
c-c-dm,0.374085,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.374302,0
c-c-dm-errs-bad,0.405475,0
c-c-dm-errs-stats,0,0,10000,0,0,10000,1000
c-native,0.397537
c-drio,0.364341
c-c-empty,0.373589,0
c-c-empty,0.368297,0
c-c-dm,0.411747,0
c-c-dm,0.414665,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.374191,0
c-c-dm-errs-bad,0.406962,0
c-c-dm-errs-stats,0,0,10000,0,0,10000,1000
c-native,0.397516
c-drio,0.357531
c-c-empty,0.357709,0
c-c-empty,0.364436,0
c-c-dm,0.374381,0
c-c-dm,0.374098,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.384962,0
c-c-dm-errs-bad,0.406511,0
c-c-dm-errs-stats,0,302,9698,302,0,9698,970
