c-native,6.311262
c-drio,5.595515
c-c-empty,5.590764,0
c-c-empty,5.617053,0
c-c-dm,5.665396,0
c-c-dm,5.675775,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.687685,0
c-c-dm-errs-bad,6.160679,0
c-c-dm-errs-stats,12642,0,27358,0,12642,27358,2734
c-native,6.313943
c-drio,5.594806
c-c-empty,5.596542,0
c-c-empty,5.591574,0
c-c-dm,5.668524,0
c-c-dm,5.66652,0
c-c-dm-stats,155,0,39845,0,155,39845,0
c-c-dm-errs-good,5.676167,0
c-c-dm-errs-bad,6.159949,0
c-c-dm-errs-stats,13885,99,26016,99,13885,26016,2599
c-native,6.316362
c-drio,5.597559
c-c-empty,5.595722,0
c-c-empty,5.605046,0
c-c-dm,5.668976,0
c-c-dm,5.664018,0
c-c-dm-stats,250,0,39750,0,250,39750,0
c-c-dm-errs-good,5.670788,0
c-c-dm-errs-bad,6.197212,0
c-c-dm-errs-stats,16732,0,23268,0,16732,23268,2324
c-native,6.307136
c-drio,5.593421
c-c-empty,5.701765,0
c-c-empty,5.586704,0
c-c-dm,5.664351,0
c-c-dm,5.678174,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.665494,0
c-c-dm-errs-bad,6.185875,0
c-c-dm-errs-stats,23072,0,16928,0,23072,16928,1690
c-native,6.313415
c-drio,5.592598
c-c-empty,5.591848,0
c-c-empty,5.608531,0
c-c-dm,5.660316,0
c-c-dm,5.659987,0
c-c-dm-stats,0,411,39589,411,0,39589,0
c-c-dm-errs-good,5.670273,0
c-c-dm-errs-bad,6.159031,0
c-c-dm-errs-stats,16129,0,23871,0,16129,23871,2387
c-native,6.315503
c-drio,5.590892
c-c-empty,5.592018,0
c-c-empty,5.624733,0
c-c-dm,5.674828,0
c-c-dm,5.698661,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.674567,0
c-c-dm-errs-bad,6.154188,0
c-c-dm-errs-stats,15092,0,24908,0,15092,24908,2490
c-native,6.310832
c-drio,5.593267
c-c-empty,5.593497,0
c-c-empty,5.592068,0
c-c-dm,5.664647,0
c-c-dm,5.660784,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.686323,0
c-c-dm-errs-bad,6.176599,0
c-c-dm-errs-stats,16016,0,23984,0,16016,23984,2399
c-native,6.313831
c-drio,5.596904
c-c-empty,5.59123,0
c-c-empty,5.587263,0
c-c-dm,5.667346,0
c-c-dm,5.663653,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.686251,0
c-c-dm-errs-bad,6.169794,0
c-c-dm-errs-stats,14366,0,25634,0,14366,25634,2562
c-native,6.327518
c-drio,5.716861
c-c-empty,5.605586,0
c-c-empty,5.587275,0
c-c-dm,5.670791,0
c-c-dm,5.66954,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.669075,0
c-c-dm-errs-bad,6.158734,0
c-c-dm-errs-stats,16536,0,23464,0,16536,23464,2342
c-native,6.315728
c-drio,5.589827
c-c-empty,5.586646,0
c-c-empty,5.595089,0
c-c-dm,5.666388,0
c-c-dm,5.663205,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.65943,0
c-c-dm-errs-bad,6.236999,0
c-c-dm-errs-stats,19845,0,20155,0,19845,20155,2010
