c-native,3.55368
c-drio,3.15309
c-c-empty,3.195605,0
c-c-empty,3.152715,0
c-c-dm,3.208811,0
c-c-dm,3.206923,0
c-c-dm-stats,0,0,30000,0,0,30000,0
c-c-dm-errs-good,3.209043,0
c-c-dm-errs-bad,3.484983,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,3000
c-native,3.552329
c-drio,3.153044
c-c-empty,3.154237,0
c-c-empty,3.153607,0
c-c-dm,3.204005,0
c-c-dm,3.246698,0
c-c-dm-stats,0,0,30000,0,0,30000,0
c-c-dm-errs-good,3.203349,0
c-c-dm-errs-bad,3.484295,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,3000
c-native,3.552218
c-drio,3.161043
c-c-empty,3.153265,0
c-c-empty,3.152945,0
c-c-dm,3.205423,0
c-c-dm,3.207907,0
c-c-dm-stats,0,0,30000,0,0,30000,0
c-c-dm-errs-good,3.217682,0
c-c-dm-errs-bad,3.513753,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,3000
c-native,3.555737
c-drio,3.1512
c-c-empty,3.152545,0
c-c-empty,3.168487,0
c-c-dm,3.213379,0
c-c-dm,3.2144,0
c-c-dm-stats,0,0,30000,0,0,30000,0
c-c-dm-errs-good,3.205528,0
c-c-dm-errs-bad,3.495257,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,3000
c-native,3.553643
c-drio,3.151497
c-c-empty,3.171864,0
c-c-empty,3.164889,0
c-c-dm,3.209381,0
c-c-dm,3.213611,0
c-c-dm-stats,0,0,30000,0,0,30000,0
c-c-dm-errs-good,3.203979,0
c-c-dm-errs-bad,3.499951,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,3000
c-native,3.552981
c-drio,3.166312
c-c-empty,3.153695,0
c-c-empty,3.178601,0
c-c-dm,3.206369,0
c-c-dm,3.209468,0
c-c-dm-stats,0,0,30000,0,0,30000,0
c-c-dm-errs-good,3.204701,0
c-c-dm-errs-bad,3.495639,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,3000
c-native,3.55682
c-drio,3.157429
c-c-empty,3.178308,0
c-c-empty,3.151653,0
c-c-dm,3.208642,0
c-c-dm,3.212004,0
c-c-dm-stats,0,0,30000,0,0,30000,0
c-c-dm-errs-good,3.203818,0
c-c-dm-errs-bad,3.522734,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,3000
c-native,3.553654
c-drio,3.149203
c-c-empty,3.152205,0
c-c-empty,3.182118,0
c-c-dm,3.208214,0
c-c-dm,3.206434,0
c-c-dm-stats,0,0,30000,0,0,30000,0
c-c-dm-errs-good,3.204022,0
c-c-dm-errs-bad,3.48505,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,3000
c-native,3.55457
c-drio,3.148735
c-c-empty,3.150921,0
c-c-empty,3.203888,0
c-c-dm,3.213208,0
c-c-dm,3.205145,0
c-c-dm-stats,0,0,30000,0,0,30000,0
c-c-dm-errs-good,3.204445,0
c-c-dm-errs-bad,3.50328,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,3000
c-native,3.554389
c-drio,3.149513
c-c-empty,3.150695,0
c-c-empty,3.174351,0
c-c-dm,3.203791,0
c-c-dm,3.23934,0
c-c-dm-stats,0,0,30000,0,0,30000,0
c-c-dm-errs-good,3.201059,0
c-c-dm-errs-bad,3.529069,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,3000
