c-native,1.582214
c-drio,1.421098
c-c-empty,1.436611,0
c-c-empty,1.407201,0
c-c-dm,1.446366,0
c-c-dm,1.449839,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.461088,0
c-c-dm-errs-bad,1.57079,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
c-native,1.583957
c-drio,1.407289
c-c-empty,1.410432,0
c-c-empty,1.411912,0
c-c-dm,1.448348,0
c-c-dm,1.448016,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.451552,0
c-c-dm-errs-bad,1.566928,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
c-native,1.586216
c-drio,1.416502
c-c-empty,1.419305,0
c-c-empty,1.449955,0
c-c-dm,1.441605,0
c-c-dm,1.461416,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.441955,0
c-c-dm-errs-bad,1.573558,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
c-native,1.590643
c-drio,1.407717
c-c-empty,1.421508,0
c-c-empty,1.407187,0
c-c-dm,1.469212,0
c-c-dm,1.442873,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.449458,0
c-c-dm-errs-bad,1.56689,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
c-native,1.58302
c-drio,1.406231
c-c-empty,1.408424,0
c-c-empty,1.412709,0
c-c-dm,1.441709,0
c-c-dm,1.460195,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.442721,0
c-c-dm-errs-bad,1.56934,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
c-native,1.582664
c-drio,1.407139
c-c-empty,1.40722,0
c-c-empty,1.406116,0
c-c-dm,1.44406,0
c-c-dm,1.441094,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.44566,0
c-c-dm-errs-bad,1.587883,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
c-native,1.582453
c-drio,1.406326
c-c-empty,1.406384,0
c-c-empty,1.406947,0
c-c-dm,1.441639,0
c-c-dm,1.451927,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.441535,0
c-c-dm-errs-bad,1.589954,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
c-native,1.590896
c-drio,1.407267
c-c-empty,1.40759,0
c-c-empty,1.45107,0
c-c-dm,1.441334,0
c-c-dm,1.478944,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.443318,0
c-c-dm-errs-bad,1.56685,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
c-native,1.581349
c-drio,1.420305
c-c-empty,1.406246,0
c-c-empty,1.406364,0
c-c-dm,1.441521,0
c-c-dm,1.486489,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.452647,0
c-c-dm-errs-bad,1.581273,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
c-native,1.583012
c-drio,1.41082
c-c-empty,1.414639,0
c-c-empty,1.408467,0
c-c-dm,1.443762,0
c-c-dm,1.44247,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.444296,0
c-c-dm-errs-bad,1.566471,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
