c-native,1.585511
c-drio,1.406664
c-c-empty,1.406521,0
c-c-empty,1.414046,0
c-c-dm,1.441109,0
c-c-dm,1.441091,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.442112,0
c-c-dm-errs-bad,1.565909,0
c-c-dm-errs-stats,3537,0,16463,0,3537,16463,1646
c-native,1.583348
c-drio,1.406744
c-c-empty,1.411275,0
c-c-empty,1.453946,0
c-c-dm,1.443291,0
c-c-dm,1.446533,0
c-c-dm-stats,64,0,19936,0,64,19936,0
c-c-dm-errs-good,1.441764,0
c-c-dm-errs-bad,1.575532,0
c-c-dm-errs-stats,5333,0,14667,0,5333,14667,1464
c-native,1.585643
c-drio,1.406313
c-c-empty,1.407258,0
c-c-empty,1.408354,0
c-c-dm,1.444618,0
c-c-dm,1.450024,0
c-c-dm-stats,250,0,19750,0,250,19750,0
c-c-dm-errs-good,1.445875,0
c-c-dm-errs-bad,1.567682,0
c-c-dm-errs-stats,2951,0,17049,0,2951,17049,1706
c-native,1.582793
c-drio,1.406205
c-c-empty,1.428547,0
c-c-empty,1.418836,0
c-c-dm,1.441753,0
c-c-dm,1.44096,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.441915,0
c-c-dm-errs-bad,1.592331,0
c-c-dm-errs-stats,5579,0,14421,0,5579,14421,1442
c-native,1.5817
c-drio,1.408248
c-c-empty,1.407111,0
c-c-empty,1.407545,0
c-c-dm,1.443174,0
c-c-dm,1.443477,0
c-c-dm-stats,109,0,19891,0,109,19891,0
c-c-dm-errs-good,1.443201,0
c-c-dm-errs-bad,1.602049,0
c-c-dm-errs-stats,4595,0,15405,0,4595,15405,1538
c-native,1.586164
c-drio,1.408912
c-c-empty,1.407923,0
c-c-empty,1.411101,0
c-c-dm,1.441111,0
c-c-dm,1.456437,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.443168,0
c-c-dm-errs-bad,1.595463,0
c-c-dm-errs-stats,5384,0,14616,0,5384,14616,1459
c-native,1.585502
c-drio,1.406622
c-c-empty,1.406854,0
c-c-empty,1.410103,0
c-c-dm,1.446154,0
c-c-dm,1.443872,0
c-c-dm-stats,0,250,19750,250,0,19750,0
c-c-dm-errs-good,1.443396,0
c-c-dm-errs-bad,1.585436,0
c-c-dm-errs-stats,9443,0,10557,0,9443,10557,1052
c-native,1.582771
c-drio,1.407667
c-c-empty,1.408387,0
c-c-empty,1.411168,0
c-c-dm,1.450378,0
c-c-dm,1.460049,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.487805,0
c-c-dm-errs-bad,1.56678,0
c-c-dm-errs-stats,1017,0,18983,0,1017,18983,1898
c-native,1.582379
c-drio,1.406059
c-c-empty,1.414801,0
c-c-empty,1.407131,0
c-c-dm,1.441347,0
c-c-dm,1.474381,0
c-c-dm-stats,50,0,19950,0,50,19950,0
c-c-dm-errs-good,1.457174,0
c-c-dm-errs-bad,1.564985,0
c-c-dm-errs-stats,1732,0,18268,0,1732,18268,1825
c-native,1.583165
c-drio,1.406914
c-c-empty,1.424095,0
c-c-empty,1.407277,0
c-c-dm,1.445657,0
c-c-dm,1.47452,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.441553,0
c-c-dm-errs-bad,1.566148,0
c-c-dm-errs-stats,3473,0,16527,0,3473,16527,1650
