c-native,0.39779
c-drio,0.368561
c-c-empty,0.368651,0
c-c-empty,0.357276,0
c-c-dm,0.384898,0
c-c-dm,0.384988,0
c-c-dm-stats,0,0,10000,0,0,10000,0
c-c-dm-errs-good,0.380538,0
c-c-dm-errs-bad,0.408419,0
c-c-dm-errs-stats,5934,0,4066,1236,4698,4066,399
c-native,0.39934
c-drio,0.368137
c-c-empty,0.368258,0
c-c-empty,0.357373,0
c-c-dm,0.37758,0
c-c-dm,0.375375,0
c-c-dm-stats,2036,2552,5412,3248,1340,5412,0
c-c-dm-errs-good,0.384803,0
c-c-dm-errs-bad,0.407167,0
c-c-dm-errs-stats,6136,0,3864,1018,5118,3864,379
c-native,0.39928
c-drio,0.357214
c-c-empty,0.363893,0
c-c-empty,0.357457,0
c-c-dm,0.374809,0
c-c-dm,0.384627,0
c-c-dm-stats,5857,0,4143,1164,4693,4143,0
c-c-dm-errs-good,0.379141,0
c-c-dm-errs-bad,0.408392,0
c-c-dm-errs-stats,5933,0,4067,1072,4861,4067,400
c-native,0.3986
c-drio,0.36815
c-c-empty,0.363307,0
c-c-empty,0.365974,0
c-c-dm,0.380246,0
c-c-dm,0.380339,0
c-c-dm-stats,140,0,9860,0,140,9860,0
c-c-dm-errs-good,0.385191,0
c-c-dm-errs-bad,0.411356,0
c-c-dm-errs-stats,5902,0,4098,992,4910,4098,403
c-native,0.39717
c-drio,0.357571
c-c-empty,0.357499,0
c-c-empty,0.363049,0
c-c-dm,0.384869,0
c-c-dm,0.374716,0
c-c-dm-stats,2436,2851,4713,4125,1162,4713,0
c-c-dm-errs-good,0.381201,0
c-c-dm-errs-bad,0.405924,0
c-c-dm-errs-stats,4846,590,4564,1854,3582,4564,450
c-native,0.397262
c-drio,0.357277
c-c-empty,0.357438,0
c-c-empty,0.357371,0
c-c-dm,0.38469,0
c-c-dm,0.380827,0
c-c-dm-stats,5486,177,4337,1470,4193,4337,0
c-c-dm-errs-good,0.373793,0
c-c-dm-errs-bad,0.40615,0
c-c-dm-errs-stats,6416,0,3584,972,5444,3584,352
c-native,0.399179
c-drio,0.357445
c-c-empty,0.357503,0
c-c-empty,0.368176,0
c-c-dm,0.374065,0
c-c-dm,0.37641,0
c-c-dm-stats,5657,0,4343,1410,4247,4343,0
c-c-dm-errs-good,0.374108,0
c-c-dm-errs-bad,0.415936,0
c-c-dm-errs-stats,6964,0,3036,866,6098,3036,295
c-native,0.398992
c-drio,0.364157
c-c-empty,0.35762,0
c-c-empty,0.357468,0
c-c-dm,0.383451,0
c-c-dm,0.385128,0
c-c-dm-stats,715,0,9285,54,661,9285,0
c-c-dm-errs-good,0.383679,0
c-c-dm-errs-bad,0.410277,0
c-c-dm-errs-stats,4818,836,4346,2030,3624,4346,426
c-native,0.397252
c-drio,0.357332
c-c-empty,0.357459,0
c-c-empty,0.361692,0
c-c-dm,0.378911,0
c-c-dm,0.377697,0
c-c-dm-stats,4174,336,5490,1271,3239,5490,0
c-c-dm-errs-good,0.382041,0
c-c-dm-errs-bad,0.424716,0
c-c-dm-errs-stats,6826,0,3174,1037,5789,3174,308
c-native,0.399069
c-drio,0.357327
c-c-empty,0.357471,0
c-c-empty,0.359194,0
c-c-dm,0.374317,0
c-c-dm,0.374048,0
c-c-dm-stats,6964,0,3036,922,6042,3036,0
c-c-dm-errs-good,0.374039,0
c-c-dm-errs-bad,0.418479,0
c-c-dm-errs-stats,6826,0,3174,1036,5790,3174,315
