c-native,6.312188
c-drio,5.594979
c-c-empty,5.599104,0
c-c-empty,5.595523,0
c-c-dm,5.679082,0
c-c-dm,5.688553,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.667121,0
c-c-dm-errs-bad,6.164997,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,4000
c-native,6.318127
c-drio,5.585557
c-c-empty,5.587718,0
c-c-empty,5.598124,0
c-c-dm,5.669192,0
c-c-dm,5.659608,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.679484,0
c-c-dm-errs-bad,6.203163,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,4000
c-native,6.309818
c-drio,5.599175
c-c-empty,5.594644,0
c-c-empty,5.601871,0
c-c-dm,5.660656,0
c-c-dm,5.661236,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.681312,0
c-c-dm-errs-bad,6.157948,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,4000
c-native,6.30914
c-drio,5.590527
c-c-empty,5.613229,0
c-c-empty,5.592647,0
c-c-dm,5.66331,0
c-c-dm,5.670877,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.661508,0
c-c-dm-errs-bad,6.168242,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,4000
c-native,6.321616
c-drio,5.704327
c-c-empty,5.647241,0
c-c-empty,5.610193,0
c-c-dm,5.672849,0
c-c-dm,5.660029,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.667229,0
c-c-dm-errs-bad,6.154441,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,4000
c-native,6.313574
c-drio,5.590329
c-c-empty,5.614598,0
c-c-empty,5.593868,0
c-c-dm,5.688038,0
c-c-dm,5.660012,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.729185,0
c-c-dm-errs-bad,6.168746,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,4000
c-native,6.311085
c-drio,5.591243
c-c-empty,5.622156,0
c-c-empty,5.641863,0
c-c-dm,5.664774,0
c-c-dm,5.659927,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.687393,0
c-c-dm-errs-bad,6.153536,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,4000
c-native,6.313321
c-drio,5.590901
c-c-empty,5.636936,0
c-c-empty,5.588639,0
c-c-dm,5.776047,0
c-c-dm,5.768481,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.663703,0
c-c-dm-errs-bad,6.157053,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,4000
c-native,6.311357
c-drio,5.688373
c-c-empty,5.607789,0
c-c-empty,5.605439,0
c-c-dm,5.667665,0
c-c-dm,5.66324,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.671143,0
c-c-dm-errs-bad,6.157905,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,4000
c-native,6.311251
c-drio,5.654511
c-c-empty,5.598081,0
c-c-empty,5.605712,0
c-c-dm,5.688459,0
c-c-dm,5.691294,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.667805,0
c-c-dm-errs-bad,6.154571,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,4000
