c-native,3.551981
c-drio,3.16303
c-c-empty,3.155552,0
c-c-empty,3.153571,0
c-c-dm,3.207152,0
c-c-dm,3.23621,0
c-c-dm-stats,15648,0,14352,1412,14236,14352,0
c-c-dm-errs-good,3.204826,0
c-c-dm-errs-bad,3.481962,0
c-c-dm-errs-stats,23376,0,6624,1031,22345,6624,657
c-native,3.554993
c-drio,3.152073
c-c-empty,3.157375,0
c-c-empty,3.152219,0
c-c-dm,3.210396,0
c-c-dm,3.265605,0
c-c-dm-stats,15924,0,14076,1284,14640,14076,0
c-c-dm-errs-good,3.20769,0
c-c-dm-errs-bad,3.499454,0
c-c-dm-errs-stats,24128,0,5872,1006,23122,5872,581
c-native,3.556338
c-drio,3.163578
c-c-empty,3.163246,0
c-c-empty,3.168499,0
c-c-dm,3.208269,0
c-c-dm,3.21754,0
c-c-dm-stats,12271,3413,14316,4527,11157,14316,0
c-c-dm-errs-good,3.213435,0
c-c-dm-errs-bad,3.484487,0
c-c-dm-errs-stats,22827,0,7173,1235,21592,7173,708
c-native,3.556927
c-drio,3.153858
c-c-empty,3.152143,0
c-c-empty,3.154822,0
c-c-dm,3.209453,0
c-c-dm,3.227951,0
c-c-dm-stats,15521,0,14479,1413,14108,14479,0
c-c-dm-errs-good,3.206182,0
c-c-dm-errs-bad,3.495052,0
c-c-dm-errs-stats,24066,0,5934,1052,23014,5934,590
c-native,3.555065
c-drio,3.185446
c-c-empty,3.161364,0
c-c-empty,3.152503,0
c-c-dm,3.215613,0
c-c-dm,3.219925,0
c-c-dm-stats,12798,0,17202,258,12540,17202,0
c-c-dm-errs-good,3.2062,0
c-c-dm-errs-bad,3.489031,0
c-c-dm-errs-stats,23713,0,6287,952,22761,6287,627
c-native,3.555965
c-drio,3.188474
c-c-empty,3.188279,0
c-c-empty,3.167159,0
c-c-dm,3.267681,0
c-c-dm,3.2197,0
c-c-dm-stats,885,13219,15896,14104,0,15896,0
c-c-dm-errs-good,3.214699,0
c-c-dm-errs-bad,3.557613,0
c-c-dm-errs-stats,23640,0,6360,972,22668,6360,629
c-native,3.555459
c-drio,3.170992
c-c-empty,3.156243,0
c-c-empty,3.156502,0
c-c-dm,3.219701,0
c-c-dm,3.207272,0
c-c-dm-stats,9620,2439,17941,3217,8842,17941,0
c-c-dm-errs-good,3.223242,0
c-c-dm-errs-bad,3.490504,0
c-c-dm-errs-stats,24059,0,5941,210,23849,5941,592
c-native,3.555524
c-drio,3.166424
c-c-empty,3.16466,0
c-c-empty,3.153993,0
c-c-dm,3.2054,0
c-c-dm,3.208264,0
c-c-dm-stats,15659,0,14341,1183,14476,14341,0
c-c-dm-errs-good,3.209389,0
c-c-dm-errs-bad,3.499462,0
c-c-dm-errs-stats,23926,0,6074,928,22998,6074,605
c-native,3.556982
c-drio,3.153624
c-c-empty,3.184591,0
c-c-empty,3.150613,0
c-c-dm,3.225748,0
c-c-dm,3.215258,0
c-c-dm-stats,178,10648,19174,10826,0,19174,0
c-c-dm-errs-good,3.230317,0
c-c-dm-errs-bad,3.493974,0
c-c-dm-errs-stats,23100,0,6900,1100,22000,6900,682
c-native,3.556835
c-drio,3.159067
c-c-empty,3.176409,0
c-c-empty,3.174807,0
c-c-dm,3.208343,0
c-c-dm,3.203554,0
c-c-dm-stats,7115,7234,15651,8647,5702,15651,0
c-c-dm-errs-good,3.219898,0
c-c-dm-errs-bad,3.49337,0
c-c-dm-errs-stats,22410,0,7590,1410,21000,7590,750
