c-native,1.582403
c-drio,1.405669
c-c-empty,1.407673,0
c-c-empty,1.412404,0
c-c-dm,1.441916,0
c-c-dm,1.447865,0
c-c-dm-stats,7511,3165,9324,4350,6326,9324,0
c-c-dm-errs-good,1.4473,0
c-c-dm-errs-bad,1.567854,0
c-c-dm-errs-stats,14005,0,5995,1128,12877,5995,594
c-native,1.584687
c-drio,1.407255
c-c-empty,1.409665,0
c-c-empty,1.422438,0
c-c-dm,1.443781,0
c-c-dm,1.441272,0
c-c-dm-stats,7557,1788,10655,3200,6145,10655,0
c-c-dm-errs-good,1.444014,0
c-c-dm-errs-bad,1.572645,0
c-c-dm-errs-stats,14755,0,5245,872,13883,5245,519
c-native,1.585106
c-drio,1.407058
c-c-empty,1.409748,0
c-c-empty,1.427548,0
c-c-dm,1.442764,0
c-c-dm,1.441749,0
c-c-dm-stats,1413,9203,9384,10616,0,9384,0
c-c-dm-errs-good,1.443917,0
c-c-dm-errs-bad,1.578356,0
c-c-dm-errs-stats,15032,0,4968,928,14104,4968,493
c-native,1.581635
c-drio,1.40859
c-c-empty,1.408018,0
c-c-empty,1.451501,0
c-c-dm,1.445679,0
c-c-dm,1.442293,0
c-c-dm-stats,1106,9393,9501,10499,0,9501,0
c-c-dm-errs-good,1.443705,0
c-c-dm-errs-bad,1.586116,0
c-c-dm-errs-stats,16038,0,3962,0,16038,3962,392
c-native,1.58751
c-drio,1.407395
c-c-empty,1.409812,0
c-c-empty,1.409134,0
c-c-dm,1.448947,0
c-c-dm,1.454748,0
c-c-dm-stats,9064,0,10936,420,8644,10936,0
c-c-dm-errs-good,1.445635,0
c-c-dm-errs-bad,1.577601,0
c-c-dm-errs-stats,15446,0,4554,787,14659,4554,452
c-native,1.582359
c-drio,1.413435
c-c-empty,1.414443,0
c-c-empty,1.412743,0
c-c-dm,1.441806,0
c-c-dm,1.449397,0
c-c-dm-stats,10616,0,9384,1288,9328,9384,0
c-c-dm-errs-good,1.447814,0
c-c-dm-errs-bad,1.568503,0
c-c-dm-errs-stats,13934,0,6066,1373,12561,6066,597
c-native,1.582518
c-drio,1.407591
c-c-empty,1.40898,0
c-c-empty,1.417352,0
c-c-dm,1.45102,0
c-c-dm,1.442157,0
c-c-dm-stats,953,8588,10459,9527,14,10459,0
c-c-dm-errs-good,1.442246,0
c-c-dm-errs-bad,1.5659,0
c-c-dm-errs-stats,14234,0,5766,1088,13146,5766,571
c-native,1.589909
c-drio,1.416817
c-c-empty,1.429549,0
c-c-empty,1.406359,0
c-c-dm,1.442746,0
c-c-dm,1.441461,0
c-c-dm-stats,0,6177,13823,6177,0,13823,0
c-c-dm-errs-good,1.442639,0
c-c-dm-errs-bad,1.565907,0
c-c-dm-errs-stats,15032,0,4968,868,14164,4968,494
c-native,1.590652
c-drio,1.406418
c-c-empty,1.407191,0
c-c-empty,1.455115,0
c-c-dm,1.474681,0
c-c-dm,1.452334,0
c-c-dm-stats,6132,4392,9476,5805,4719,9476,0
c-c-dm-errs-good,1.442436,0
c-c-dm-errs-bad,1.567835,0
c-c-dm-errs-stats,14369,0,5631,1088,13281,5631,559
c-native,1.582864
c-drio,1.407879
c-c-empty,1.409115,0
c-c-empty,1.441621,0
c-c-dm,1.443402,0
c-c-dm,1.456791,0
c-c-dm-stats,9482,50,10468,1029,8503,10468,0
c-c-dm-errs-good,1.445505,0
c-c-dm-errs-bad,1.56825,0
c-c-dm-errs-stats,13052,860,6088,1977,11935,6088,602
