0,0,10,1,302759645,9999858,150,8
0,0,10,2,357275800,9999837,175,12
0,0,10,5,429610601,9999674,339,13
0,0,10,10,101677875,9999788,220,8
0,0,10,50,251671826,9999874,145,19
0,0,10,100,173075825,9999590,448,38
0,0,10,1000,106108142,9999712,327,39
0,0,10,9223372036854775808,94641886,9999685,346,31
0,0,100,1,202784608,10000000,0,0
0,0,100,2,146056367,10000000,0,0
0,0,100,5,411924075,10000000,0,0
0,0,100,10,178993785,10000000,0,0
0,0,100,50,346197686,10000000,0,0
0,0,100,100,106569403,10000000,0,0
0,0,100,1000,107208257,10000000,0,0
0,0,100,9223372036854775808,351491731,10000000,0,0
0,0,1000,1,115090763,10000000,0,0
0,0,1000,2,266262978,10000000,0,0
0,0,1000,5,223726038,10000000,0,0
0,0,1000,10,162447528,10000000,0,0
0,0,1000,50,426841802,10000000,0,0
0,0,1000,100,384429610,10000000,0,0
0,0,1000,1000,129227052,10000000,0,0
0,0,1000,9223372036854775808,142153398,10000000,0,0
0,0,10000,1,245774060,10000000,0,0
0,0,10000,2,417602813,10000000,0,0
0,0,10000,5,99033629,10000000,0,0
0,0,10000,10,127892004,10000000,0,0
0,0,10000,50,120639947,10000000,0,0
0,0,10000,100,118577221,10000000,0,0
0,0,10000,1000,374050330,10000000,0,0
0,0,10000,9223372036854775808,448033838,10000000,0,0
0,100,10,1,348974369,7962858,3870295,1833153
0,100,10,2,105880733,9997186,4083,1269
0,100,10,5,59926164,9999280,1008,288
0,100,10,10,82203896,9999541,503,44
0,100,10,50,113417415,9999433,688,121
0,100,10,100,45504156,9999560,481,41
0,100,10,1000,84354304,9999680,334,14
0,100,10,9223372036854775808,231327800,9999610,465,75
0,100,100,1,158073740,8291559,3236938,1528497
0,100,100,2,75763467,9998154,2789,943
0,100,100,5,61928448,9999709,523,232
0,100,100,10,292075438,10000000,0,0
0,100,100,50,62943488,10000000,0,0
0,100,100,100,181136198,10000000,0,0
0,100,100,1000,131132089,10000000,0,0
0,100,100,9223372036854775808,174248999,10000000,0,0
0,100,1000,1,320972505,8519315,2912663,1431978
0,100,1000,2,110923594,9998402,2294,696
